Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Genome representation (RefSeq)
UP000192247	Tropilaelaps mercedesae	418985	14292	C:93.5%[S:92%,D:1.5%],F:2.9%,M:3.5%,n:2934	Unknown	full
UP000051836	Amazona aestiva (Blue-fronted Amazon parrot)	12930	16092	C:85.9%[S:85.4%,D:0.5%],F:4.4%,M:9.7%,n:8338	Outlier (high value)	full
UP000091997	Pseudogymnoascus sp. WSF 3629 (Strain: WSF 3629)	1622147	11000	C:99.5%[S:99.2%,D:0.3%],F:0.3%,M:0.2%,n:3234	Standard	full
UP000237105	Parasponia andersonii (Sponia andersonii) (Strain: cv. WU1-14)	3476	37181	C:92.6%[S:91.4%,D:1.2%],F:4.2%,M:3.2%,n:2326	Standard	full
UP000223968	Helicocarpus griseus UAMH5409 (Strain: UAMH5409)	1447875	10216	C:99.4%[S:99.2%,D:0.2%],F:0.1%,M:0.4%,n:4862	Standard	full
UP000534634	Illadopsis cleaveri (blackcap illadopsis)	201329	13397	C:72.7%[S:72.5%,D:0.2%],F:5.5%,M:21.8%,n:10844	Standard	full
UP000283269	Psilocybe cyanescens (Strain: 2631)	93625	15931	C:96.7%[S:96.1%,D:0.6%],F:0.8%,M:2.5%,n:3870	Standard	full
UP000572837	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	932028	12947	C:68.9%[S:68.7%,D:0.2%],F:5.6%,M:25.5%,n:10844	Close to standard (low value)	full
UP000310108	Colletotrichum tanaceti	1306861	12168	C:91.2%[S:91%,D:0.1%],F:0.7%,M:8.1%,n:6841	Standard	full
UP000007875	Ciona savignyi (Pacific transparent sea squirt)	51511	20004	C:68.3%[S:51.5%,D:16.9%],F:6.2%,M:25.5%,n:954	Unknown	
UP000241394	Actinidia chinensis var. chinensis (Chinese soft-hair kiwi) (Strain: cv. Red5)	1590841	32913	C:93.7%[S:70.9%,D:22.8%],F:2.5%,M:3.8%,n:2326	Standard	full
UP000283841	Byssochlamys spectabilis (Paecilomyces variotii) (Strain: CBS 101075)	264951	9264	C:97.1%[S:96.8%,D:0.3%],F:0.5%,M:2.4%,n:4191	Close to standard (low value)	full
UP000523279	Dicaeum eximium	667154	13622	C:74.7%[S:74.5%,D:0.2%],F:4.7%,M:20.6%,n:10844	Standard	full
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast) (Strain: 972 / ATCC 24843)	284812	5122	C:81.8%[S:79%,D:2.8%],F:1.4%,M:16.8%,n:1706	Unknown	full
UP000239156	Puccinia striiformis (Strain: 93-210)	27350	14973	C:78.2%[S:70.4%,D:7.9%],F:3.3%,M:18.5%,n:1764	Unknown	full
UP000054516	Rosellinia necatrix (White root-rot fungus) (Strain: W97)	77044	12440	C:96.9%[S:96.6%,D:0.2%],F:1.9%,M:1.2%,n:3817	Standard	full
UP000017246	Echinococcus multilocularis (Fox tapeworm) (Strain: Java)	6211	10472	C:72.6%[S:70.6%,D:2%],F:5.2%,M:22.1%,n:954	Unknown	full
UP000305948	Heliocybe sulcata (Strain: OMC1185)	5364	12554	C:98.4%[S:98%,D:0.3%],F:0.9%,M:0.7%,n:2898	Standard	full
UP000217199	Pyrrhoderma noxium (Strain: FFPRI411160)	2282107	9911	C:95.8%[S:95.6%,D:0.2%],F:1.1%,M:3.1%,n:2898	Close to standard (low value)	full
UP000001396	Polysphondylium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Heterostelium pallidum) (Strain: ATCC 26659 / Pp 5 / PN500)	670386	12351	C:86.7%[S:85.9%,D:0.8%],F:7.5%,M:5.9%,n:255	Unknown	full
UP000015453	Genlisea aurea	192259	17675	C:66.4%[S:64.1%,D:2.2%],F:11.8%,M:21.8%,n:2326	Close to standard (low value)	full
UP000224522	Capsicum chinense (Scotch bonnet) (Bonnet pepper) (Strain: cv. PI159236)	80379	34757	C:92.3%[S:90.7%,D:1.7%],F:3.5%,M:4.1%,n:5950	Standard	full
UP000218220	Heliothis virescens (Tobacco budworm moth)	7102	17055	C:87.5%[S:69.9%,D:17.6%],F:2.3%,M:10.2%,n:5286	Outlier (high value)	full
UP000000707	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) (Yeast) (Yamadazyma tenuis) (Strain: ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70)	590646	6051	C:95.6%[S:74.1%,D:21.4%],F:1.3%,M:3.2%,n:2137	Outlier (high value)	full
UP000051574	Oryctes borbonicus	1629725	8820	C:59.8%[S:59.2%,D:0.6%],F:15.6%,M:24.6%,n:2124	Close to standard (low value)	full
UP000242146	Hesseltinella vesiculosa (Strain: NRRL 3301)	101127	11058	C:96.7%[S:96.1%,D:0.6%],F:1.9%,M:1.4%,n:2449	Unknown	full
UP000193856	Babesia sp. Xinjiang (Strain: Xinjiang)	462227	2856	C:80.2%[S:73.7%,D:6.5%],F:2.4%,M:17.4%,n:1135	Outlier (low value)	full
UP000591131	Perkinsus chesapeaki (Clam parasite) (Perkinsus andrewsi)	330153	10985	C:91.2%[S:88.9%,D:2.3%],F:3.5%,M:5.3%,n:171	Unknown	full
UP000579941	Gymnorhina tibicen (Australian magpie) (Cracticus tibicen)	9132	14291	C:76.6%[S:76.4%,D:0.3%],F:5.1%,M:18.3%,n:10844	Close to standard (high value)	full
UP000492440	Hepatocystis sp. ex Piliocolobus tephrosceles	2600580	5281	C:90.6%[S:88.8%,D:1.8%],F:2.7%,M:6.7%,n:1135	Standard	full
UP000503462	Peltaster fructicola (Strain: LNHT1506)	286661	8072	C:90%[S:89.8%,D:0.1%],F:2.1%,M:8%,n:3786	Close to standard (low value)	full
UP000001861	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata) (Strain: Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)	240176	13335	C:95.8%[S:95.2%,D:0.6%],F:2.1%,M:2.1%,n:3870	Standard	full
UP000053780	Nosema apis BRL 01 (Strain: BRL 01)	1037528	2727	C:57.3%[S:54.8%,D:2.5%],F:8.8%,M:33.8%,n:600	Unknown	full
UP000027238	Colletotrichum sublineola (Sorghum anthracnose fungus) (Strain: TX430BB)	1173701	12697	C:97.8%[S:97.7%,D:0.1%],F:0.8%,M:1.4%,n:6841	Standard	full
UP000287144	Fusarium sp. AF-4 (Strain: NRRL62579)	1325735	17739	C:91.3%[S:90.9%,D:0.4%],F:5.9%,M:2.7%,n:4494	Close to standard (high value)	full
UP000011064	Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21) (Bat white-nose syndrome fungus) (Geomyces destructans) (Strain: ATCC MYA-4855 / 20631-21)	658429	9122	C:97.6%[S:96.8%,D:0.8%],F:2%,M:0.4%,n:3234	Close to standard (low value)	full
UP000324897	Eragrostis curvula (weeping love grass) (Strain: cv. Victoria)	38414	53658	C:90%[S:63.1%,D:26.9%],F:1.3%,M:8.7%,n:4896	Outlier (high value)	full
UP000515148	Coffea arabica (Arabian coffee) (Strain: cv. Caturra red)	13443	53197	C:97.3%[S:18.7%,D:78.5%],F:0.6%,M:2.1%,n:2326	Close to standard (high value)	full
UP000472276	Oreochromis aureus (Israeli tilapia) (Chromis aureus)	47969	58969	C:96.3%[S:53.2%,D:43.1%],F:1.5%,M:2.3%,n:3640	Outlier (high value)	full
UP000008698	Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136) (Verticillium wilt of alfalfa) (Verticillium albo-atrum) (Strain: VaMs.102 / ATCC MYA-4576 / FGSC 10136)	526221	10233	C:63.8%[S:63.4%,D:0.4%],F:6%,M:30.3%,n:6841	Close to standard (low value)	full
UP000054217	Pisolithus tinctorius Marx 270 (Strain: Marx 270)	870435	22409	C:95.6%[S:91.5%,D:4%],F:2.4%,M:2.1%,n:4878	Close to standard (high value)	full
UP000026960	Oryza barthii (Strain: IRGC 105608)	65489	40214	C:91.4%[S:73.4%,D:18%],F:3.3%,M:5.3%,n:4896	Outlier (high value)	full
UP000237271	Phytophthora palmivora var. palmivora (Strain: sbr112.9)	611791	24468	C:81%[S:70%,D:11%],F:12%,M:7%,n:100	Standard	full
UP000236161	Apostasia shenzhenica (Strain: cv. Shenzhen)	1088818	21679	C:80.3%[S:78.9%,D:1.4%],F:14.5%,M:5.2%,n:3236	Standard	full
UP000252139	Rhizopus azygosporus (Rhizopus microsporus var. azygosporus) (Strain: CBS 357.93)	86630	15771	C:94%[S:56.7%,D:37.3%],F:3.2%,M:2.8%,n:2449	Unknown	full
UP000039046	Torrubiella hemipterigena	1531966	11466	C:97.8%[S:92.5%,D:5.4%],F:0.5%,M:1.6%,n:4494	Standard	full
UP000578766	Cepphus grylle (Black guillemot)	28697	14757	C:81.4%[S:80.9%,D:0.5%],F:5.7%,M:12.9%,n:8338	Close to standard (high value)	full
UP000519684	Catharus fuscescens (Veery)	159581	13906	C:71.7%[S:71.5%,D:0.2%],F:6.2%,M:22.1%,n:10844	Standard	full
UP000515153	Magnaporthe grisea (Crabgrass-specific blast fungus) (Pyricularia grisea) (Strain: NI907)	148305	12455	C:98.1%[S:97.9%,D:0.2%],F:0.3%,M:1.6%,n:3817	Close to standard (high value)	full
UP000054018	Pisolithus microcarpus 441 (Strain: 441)	765257	20748	C:91.7%[S:88.7%,D:3%],F:5.1%,M:3.2%,n:4878	Close to standard (high value)	full
UP000002530	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus) (Strain: ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)	330879	9647	C:96.9%[S:96.7%,D:0.2%],F:1.7%,M:1.3%,n:4191	Close to standard (low value)	full
UP000089565	Cucumis melo (Muskmelon) (Strain: cv. DHL92)	3656	25056	C:98.2%[S:63.7%,D:34.5%],F:0.6%,M:1.2%,n:2326	Standard	full
UP000186136	Pichia membranifaciens (Strain: KS47-1)	4926	4160	C:63.6%[S:63.5%,D:0.1%],F:5.6%,M:30.8%,n:2137	Outlier (low value)	full
UP000466442	Apolygus lucorum (Plant bug) (Lygocoris lucorum)	248454	21887	C:86.5%[S:71.6%,D:14.9%],F:2.5%,M:11%,n:2510	Close to standard (high value)	full
UP000504632	Chanos chanos (Milkfish) (Mugil chanos)	29144	28996	C:98.6%[S:82.2%,D:16.4%],F:0.2%,M:1.2%,n:3640	Standard	full
UP000030747	Eimeria tenella (Coccidian parasite) (Strain: Houghton)	5802	8595	C:91%[S:90%,D:1%],F:5.8%,M:3.2%,n:502	Standard	full
UP000557315	Daphoenositta chrysoptera (varied sittella)	254528	13857	C:75.9%[S:75.7%,D:0.2%],F:5.1%,M:19%,n:10844	Standard	full
UP000022910	Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices) (Strain: DAOM197198w)	1432141	28669	C:85.3%[S:67%,D:18.3%],F:1.9%,M:12.8%,n:1614	Unknown	full
UP000054343	Anncaliia algerae PRA109 (Strain: PRA109)	1240240	5143	C:40.7%[S:32.7%,D:8%],F:8.8%,M:50.5%,n:600	Unknown	full
UP000540762	Brachypodius atriceps (black-headed bulbul)	182895	12859	C:71.8%[S:71.7%,D:0.1%],F:5.1%,M:23.1%,n:10844	Close to standard (low value)	full
UP000307440	Coprinopsis marcescibilis (Strain: CBS 121175)	230819	14526	C:97.5%[S:96.9%,D:0.6%],F:0.7%,M:1.7%,n:3870	Standard	full
UP000324585	Porphyridium purpureum (Red alga) (Porphyridium cruentum)	35688	9673	C:72.5%[S:70.2%,D:2.4%],F:7.8%,M:19.6%,n:255	Unknown	full
UP000525319	Drymodes brunneopygia	626378	13533	C:69.8%[S:69.5%,D:0.3%],F:6%,M:24.2%,n:10844	Standard	full
UP000087766	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus) (Strain: cv. VC1973A)	3916	35035	C:98.6%[S:64%,D:34.6%],F:0.2%,M:1.2%,n:5366	Standard	full
UP000507245	Prunus armeniaca (Apricot) (Armeniaca vulgaris) (Strain: cv. Rojo Pasion)	36596	30031	C:92.9%[S:90.7%,D:2.2%],F:2%,M:5.1%,n:2326	Standard	full
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii) (Strain: CC-503)	3055	18829	C:98.9%[S:92.9%,D:6.1%],F:0.3%,M:0.7%,n:1519	Unknown	full
UP000270094	Strongylus vulgaris (Blood worm)	40348	20844	C:26.6%[S:25.3%,D:1.3%],F:12.4%,M:61%,n:3131	Standard	full
UP000534426	Crypturellus undulatus	48396	14020	C:75.1%[S:74.6%,D:0.5%],F:7.3%,M:17.6%,n:8338	Standard	full
UP000236621	Tolypocladium capitatum (Strain: CBS 113982)	45235	7634	C:93.5%[S:93%,D:0.5%],F:1.8%,M:4.7%,n:4494	Close to standard (low value)	full
UP000076744	Cordyceps fumosorosea (strain ARSEF 2679) (Isaria fumosorosea) (Strain: ARSEF 2679)	1081104	10050	C:95.6%[S:95.4%,D:0.2%],F:2.1%,M:2.3%,n:4494	Close to standard (low value)	full
UP000037035	Puccinia sorghi (Strain: RO10H11247)	27349	21032	C:86.1%[S:85.6%,D:0.5%],F:4.1%,M:9.9%,n:1764	Unknown	full
UP000472268	Suricata suricatta (Meerkat)	37032	37193	C:92.8%[S:53.5%,D:39.2%],F:1.1%,M:6.1%,n:14502	Standard	full
UP000549091	Nesospiza acunhae	381881	14047	C:72.2%[S:72%,D:0.2%],F:5.1%,M:22.7%,n:10844	Standard	full
UP000234720	Cercospora zeina (Strain: CMW25467)	348901	10192	C:95.7%[S:95.7%,D:0.1%],F:0.9%,M:3.4%,n:3786	Close to standard (low value)	full
UP000245320	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	9739	45130	C:98.7%[S:43.7%,D:55%],F:0.5%,M:0.8%,n:13335	Close to standard (high value)	full
UP000253551	Rhizopus stolonifer (Rhizopus nigricans) (Strain: LSU 92-RS-03)	4846	13951	C:74.2%[S:53.6%,D:20.5%],F:6.8%,M:19%,n:2449	Unknown	full
UP000077206	Stagonospora sp. SRC1lsM3a (Strain: SRC1lsM3a)	765868	14420	C:98.9%[S:98.6%,D:0.2%],F:0.5%,M:0.7%,n:6641	Close to standard (high value)	full
UP000243498	Metarhizium rileyi (strain RCEF 4871) (Nomuraea rileyi) (Strain: RCEF 4871)	1081105	8763	C:98.2%[S:98.1%,D:0.1%],F:0.5%,M:1.3%,n:4494	Close to standard (low value)	full
UP000567826	Nyctibius grandis (Great potoo)	48427	14050	C:77.6%[S:77.2%,D:0.4%],F:7%,M:15.4%,n:8338	Standard	full
UP000243839	Ipomoea nil (Japanese morning glory) (Pharbitis nil) (Strain: cv. Tokyo-kokei)	35883	109	C:0.1%[S:0.1%,D:0%],F:0%,M:99.9%,n:5950	Outlier (low value)	full
UP000275078	Ascobolus immersus RN42 (Strain: RN42)	1160509	17778	C:92.1%[S:91%,D:1.2%],F:1.5%,M:6.4%,n:1706	Unknown	full
UP000081671	Dipodomys ordii (Ord's kangaroo rat)	10020	26567	C:93.9%[S:69%,D:24.9%],F:3.4%,M:2.7%,n:13798	Standard	full
UP000001067	Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres) (Strain: 0-1)	861557	11705	C:97.5%[S:97.1%,D:0.5%],F:1.2%,M:1.3%,n:6641	Standard	full
UP000001058	Volvox carteri f. nagariensis (Strain: f. Nagariensis / Eve)	3068	14335	C:96.6%[S:95.7%,D:0.9%],F:1%,M:2.4%,n:1519	Unknown	full
UP000009046	Pediculus humanus subsp. corporis (Body louse) (Strain: USDA)	121224	10788	C:95.8%[S:95.5%,D:0.4%],F:2%,M:2.1%,n:1367	Close to standard (high value)	full
UP000588334	Sclerurus mexicanus (tawny-throated leaftosser)	265632	14009	C:76.5%[S:76.3%,D:0.3%],F:4.8%,M:18.6%,n:10844	Standard	full
UP000028999	Brassica napus (Rape) (Strain: cv. Darmor-bzh)	3708	60180	C:78.7%[S:44.3%,D:34.4%],F:1.4%,M:19.8%,n:4596	Outlier (high value)	full
UP000475037	Crocuta crocuta (Spotted hyena)	9678	16983	C:74%[S:73.4%,D:0.6%],F:2.4%,M:23.6%,n:14502	Close to standard (low value)	full
UP000555275	Podilymbus podiceps (Pied-billed grebe)	9252	14192	C:79.3%[S:79%,D:0.3%],F:5.9%,M:14.8%,n:8338	Standard	full
UP000001055	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum) (Strain: SN15 / ATCC MYA-4574 / FGSC 10173)	321614	15998	C:87.8%[S:87.8%,D:0.1%],F:8.1%,M:4%,n:6641	Outlier (high value)	full
UP000193642	Rhizoclosmatium globosum (Strain: JEL800)	329046	16725	C:82.2%[S:76.3%,D:5.9%],F:4.9%,M:12.9%,n:758	Unknown	full
UP000187609	Nicotiana attenuata (Coyote tobacco) (Strain: cv. UT)	49451	32840	C:97.3%[S:94.1%,D:3.2%],F:1.1%,M:1.6%,n:5950	Standard	full
UP000266453	Alternaria sp. MG1 (Strain: MG1)	1678846	4966		Outlier (low value)	full
UP000218811	Wolfiporia cocos (strain MD-104) (Brown rot fungus) (Strain: MD-104)	742152	12197	C:94.5%[S:93.7%,D:0.8%],F:0.8%,M:4.7%,n:4464	Standard	full
UP000013827	Emiliania huxleyi (Pontosphaera huxleyi) (Strain: CCMP1516)	2903	35707	C:56.1%[S:40.4%,D:15.7%],F:17.3%,M:26.7%,n:255	Unknown	full
UP000032141	Brassica oleracea var. oleracea (Strain: TO1000)	109376	58535	C:94.8%[S:85.9%,D:8.8%],F:0.9%,M:4.4%,n:4596	Outlier (high value)	full
UP000054566	Plasmodium falciparum RAJ116 (Strain: RAJ116)	580058	3177	C:25.7%[S:25.6%,D:0.1%],F:18.6%,M:55.7%,n:3642	Outlier (low value)	full
UP000289886	Acipenser ruthenus (Sterlet sturgeon)	7906	22004	C:56.6%[S:38.4%,D:18.2%],F:7.4%,M:36%,n:3640	Unknown	full
UP000249390	Cuscuta australis (Strain: cv. Yunnan)	267555	18107	C:67.3%[S:63.4%,D:3.9%],F:1.1%,M:31.5%,n:5950	Close to standard (low value)	full
UP000007014	Cyanidioschyzon merolae (strain 10D) (Red alga) (Strain: 10D)	280699	4995	C:72.5%[S:71.4%,D:1.2%],F:6.7%,M:20.8%,n:255	Unknown	full
UP000556200	Neopipo cinnamomea	456388	13978	C:72.6%[S:72.4%,D:0.2%],F:5.7%,M:21.7%,n:10844	Standard	full
UP000314294	Liparis tanakae (Tanaka's snailfish)	230148	68164	C:59.7%[S:58.7%,D:1%],F:12%,M:28.3%,n:3640	Outlier (high value)	full
UP000594220	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	8502	27142	C:91.7%[S:56.3%,D:35.3%],F:2.3%,M:6%,n:7480	Unknown	full
UP000054630	Trichinella nelsoni	6336	16597	C:68.1%[S:41.7%,D:26.3%],F:0.6%,M:31.3%,n:3131	Unknown	full
UP000029299	Pseudogymnoascus sp. VKM F-4246 (Strain: VKM F-4246)	1420902	8539	C:83.2%[S:83.2%,D:0.1%],F:4.7%,M:12.1%,n:3234	Close to standard (low value)	full
UP000188354	Lupinus angustifolius (Narrow-leaved blue lupine) (Strain: cv. Tanjil)	3871	31106	C:89%[S:69.1%,D:19.9%],F:1.8%,M:9.2%,n:5366	Standard	full
UP000578259	Pheucticus melanocephalus (Black-headed grosbeak) (Guiraca melanocephala)	371919	12775	C:62.9%[S:62.8%,D:0.1%],F:6.6%,M:30.4%,n:10844	Close to standard (low value)	full
UP000000724	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum) (Strain: ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	500485	12788	C:97.2%[S:96.8%,D:0.4%],F:0.4%,M:2.4%,n:4191	Close to standard (high value)	
UP000008783	Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus) (Strain: CRL 75-36-700-3 / race SCCL)	418459	15808	C:91.8%[S:83%,D:8.8%],F:2%,M:6.2%,n:1764	Unknown	full
UP000311919	Schistosoma japonicum (Blood fluke)	6182	14733	C:72.1%[S:40.5%,D:31.7%],F:4.5%,M:23.4%,n:954	Unknown	full
UP000018208	Spironucleus salmonicida	348837	8098	C:19.2%[S:19.2%,D:0%],F:6.7%,M:74.1%,n:255	Unknown	full
UP000248349	Aspergillus saccharolyticus JOP 1030-1 (Strain: JOP 1030-1)	1450539	10061	C:97.3%[S:97%,D:0.2%],F:0.9%,M:1.9%,n:4191	Close to standard (low value)	full
UP000271162	Nippostrongylus brasiliensis (Rat hookworm)	27835	22636	C:74.8%[S:68.8%,D:6%],F:8.9%,M:16.3%,n:3131	Standard	full
UP000541444	Kingdonia uniflora	39325	42606	C:76.6%[S:71.1%,D:5.5%],F:14.5%,M:8.9%,n:1614	Outlier (high value)	full
UP000242457	Apis cerana cerana (Oriental honeybee)	94128	9931	C:91.3%[S:89.8%,D:1.6%],F:2.5%,M:6.2%,n:5991	Close to standard (low value)	full
UP000008744	Drosophila persimilis (Fruit fly) (Strain: MSH-3 / Tucson 14011-0111.49)	7234	16754	C:88.8%[S:87.9%,D:0.9%],F:5%,M:6.2%,n:3285	Standard	full
UP000026042	Helicosporidium sp. ATCC 50920 (Strain: ATCC 50920)	1291522	6029	C:63.5%[S:62.3%,D:1.2%],F:12.6%,M:24%,n:1519	Unknown	full
UP000243459	Asparagus officinalis (Garden asparagus) (Strain: cv. DH0086)	4686	24059	C:62.4%[S:60%,D:2.4%],F:15.2%,M:22.3%,n:3236	Standard	full
UP000053447	Pneumocystis jirovecii (strain RU7) (Human pneumocystis pneumonia agent) (Strain: RU7)	1408657	3746	C:75.7%[S:75.5%,D:0.2%],F:2.3%,M:22%,n:1706	Unknown	full
UP000531168	Amazona guildingii	175529	14181	C:79.1%[S:78.7%,D:0.4%],F:6.2%,M:14.7%,n:8338	Standard	full
UP000526602	Orthonyx spaldingii (Chowchilla)	38397	14263	C:77.2%[S:77%,D:0.2%],F:4.7%,M:18.1%,n:10844	Close to standard (high value)	full
UP000001876	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga) (Strain: CCMP1545)	564608	10250	C:97%[S:96.6%,D:0.4%],F:1.1%,M:1.8%,n:1519	Unknown	full
UP000236319	Babesia ovata (Strain: Miyake)	189622	5006	C:83.3%[S:82.8%,D:0.4%],F:6.3%,M:10.4%,n:1135	Close to standard (low value)	full
UP000070168	Penicillium patulum (Penicillium griseofulvum) (Strain: PG3)	5078	9628	C:97.7%[S:97.5%,D:0.2%],F:0.6%,M:1.7%,n:4191	Standard	full
UP000552319	Quiscalus mexicanus (Great-tailed grackle) (Cassidix mexicanus)	64278	13590	C:68.9%[S:68.6%,D:0.3%],F:7.8%,M:23.3%,n:10844	Standard	full
UP000240080	Pan paniscus (Pygmy chimpanzee) (Bonobo)	9597	42997	C:95.2%[S:55.3%,D:39.9%],F:1.2%,M:3.6%,n:13780	Standard	full
UP000279236	Apiotrichum porosum (Strain: DSM 27194)	105984	9145	C:93.2%[S:92.1%,D:1.1%],F:1.7%,M:5.1%,n:4284	Outlier (high value)	full
UP000515157	Pantherophis guttatus (Corn snake) (Elaphe guttata)	94885	33951	C:94.1%[S:46.9%,D:47.2%],F:1.7%,M:4.2%,n:7480	Unknown	full
UP000092321	Hanseniaspora valbyensis NRRL Y-1626 (Strain: NRRL Y-1626)	766949	4754	C:72.5%[S:71.5%,D:1%],F:7.6%,M:19.9%,n:2137	Close to standard (low value)	full
UP000076078	Tieghemostelium lacteum (Strain: TK)	361077	10208	C:91%[S:90.2%,D:0.8%],F:4.7%,M:4.3%,n:255	Unknown	full
UP000095038	Ascoidea rubescens DSM 1968 (Strain: DSM 1968)	1344418	6735	C:94.9%[S:92.7%,D:2.1%],F:2.6%,M:2.6%,n:2137	Close to standard (high value)	full
UP000515209	Drosophila rhopaloa (Fruit fly)	1041015	21090	C:98.3%[S:71.1%,D:27.2%],F:0.9%,M:0.8%,n:3285	Close to standard (high value)	full
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus) (Strain: S238N-H82)	7739	28544	C:0%[S:0%,D:0%],F:0%,M:100%,n:954	Unknown	full
UP000502823	Coptotermes formosanus (Formosan subterranean termite)	36987	12806	C:90.2%[S:88.3%,D:1.9%],F:4.8%,M:5%,n:1367	Standard	full
UP000095285	Loa loa (Eye worm) (Filaria loa)	7209	12177	C:94%[S:92.8%,D:1.2%],F:1.2%,M:4.7%,n:3131	Standard	full
UP000580681	Emberiza fucata	337179	13193	C:70%[S:69.8%,D:0.2%],F:5.9%,M:24.1%,n:10844	Close to standard (low value)	full
UP000008673	Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) (Yeast) (Hansenula polymorpha) (Strain: ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1)	871575	5338	C:96.5%[S:96.5%,D:0%],F:1.7%,M:1.8%,n:2137	Standard	full
UP000233551	Punica granatum (Pomegranate) (Strain: cv. AG2017)	22663	50426	C:73.4%[S:71.6%,D:1.8%],F:15.6%,M:10.9%,n:2326	Outlier (high value)	full
UP000529728	Regulus satrapa (Golden-crowned kinglet)	13245	12984	C:69.8%[S:69.5%,D:0.2%],F:6.3%,M:23.9%,n:10844	Close to standard (low value)	full
UP000030663	Fusarium oxysporum f. sp. raphani 54005 (Strain: 54005)	1089458	22754	C:99.6%[S:68%,D:31.6%],F:0.1%,M:0.3%,n:4494	Outlier (high value)	full
UP000030753	Fusarium oxysporum NRRL 32931 (Strain: FOSC 3-a)	660029	20767	C:99.6%[S:68.9%,D:30.7%],F:0.2%,M:0.2%,n:4494	Outlier (high value)	full
UP000324022	Ustilago trichophora (Strain: NBRC100155)	86804	13002	C:96.1%[S:8.2%,D:87.9%],F:0.7%,M:3.2%,n:1764	Unknown	full
UP000245910	Fusarium venenatum (Strain: A3/5)	56646	13945	C:99.5%[S:99.4%,D:0.1%],F:0.1%,M:0.4%,n:4494	Standard	full
UP000189580	Sugiyamaella lignohabitans (Strain: CBS 10342)	796027	5131	C:74.3%[S:73.9%,D:0.3%],F:10.2%,M:15.6%,n:2137	Close to standard (low value)	full
UP000554482	Thalictrum thalictroides (Rue-anemone) (Anemone thalictroides)	46969	33511	C:87%[S:84.5%,D:2.5%],F:8.3%,M:4.7%,n:1614	Standard	full
UP000190776	Diplodia seriata (Strain: F98.1)	420778	8038	C:86.2%[S:86%,D:0.2%],F:4.7%,M:9.1%,n:3786	Close to standard (low value)	full
UP000517892	Centropus unirufus	1118519	13993	C:79.8%[S:79.4%,D:0.4%],F:6.2%,M:14.1%,n:8338	Standard	full
UP000268321	Metschnikowia bicuspidata (Strain: Baker2002)	27322	4707	C:88.4%[S:86.4%,D:2%],F:3.4%,M:8.2%,n:2137	Close to standard (low value)	full
UP000515161	Gymnodraco acuticeps (Antarctic dragonfish)	8218	39919	C:96.3%[S:64.8%,D:31.5%],F:0.6%,M:3.1%,n:3640	Close to standard (high value)	full
UP000510647	Torulaspora sp. CBS 2947 (Strain: CBS2947)	2792677	4924	C:99.3%[S:99.3%,D:0%],F:0.5%,M:0.2%,n:2137	Outlier (low value)	full
UP000509510	Talaromyces rugulosus (Strain: W13939)	121627	11830	C:94.2%[S:93.8%,D:0.4%],F:0.2%,M:5.6%,n:4191	Standard	full
